year,category,full_name,Film,won
1998,FEMALE SUPPORTING ROLE,JUDI DENCH,SHAKESPEARE IN LOVE,FALSE
1998,MALE LEAD ROLE,NICK NOLTE,AFFLICTION,FALSE
1998,MALE LEAD ROLE,IAN McKELLEN,GODS AND MONSTERS,FALSE
1998,MALE LEAD ROLE,ROBERTO BENIGNI,LIFE IS BEAUTIFUL,TRUE
1998,MALE LEAD ROLE,TOM HANKS,SAVING PRIVATE RYAN,FALSE
1998,MALE LEAD ROLE,JOSEPH FIENNES,SHAKESPEARE IN LOVE,FALSE
1998,MALE SUPPORTING ROLE,ROBERT DUVALL,A CIVIL ACTION,TRUE
1998,MALE SUPPORTING ROLE,BILLY BOB THORNTON,A SIMPLE PLAN,FALSE
1998,MALE SUPPORTING ROLE,JAMES COBURN,AFFLICTION,FALSE
1998,MALE SUPPORTING ROLE,GEOFFREY RUSH,SHAKESPEARE IN LOVE,FALSE
1998,MALE SUPPORTING ROLE,DAVID KELLY,WAKING NED DEVINE,FALSE
1998,MOTION PICTURE,Roberto Benigni,LIFE IS BEAUTIFUL,FALSE
1998,MOTION PICTURE,Mark Herman,LITTLE VOICE,FALSE
1998,MOTION PICTURE,Steven Spielberg,SAVING PRIVATE RYAN,FALSE
1998,MOTION PICTURE,John Madden,SHAKESPEARE IN LOVE,TRUE
1998,MOTION PICTURE,Kirk Jones,WAKING NED DEVINE,FALSE
1999,FEMALE LEAD ROLE,ANNETTE BENING,AMERICAN BEAUTY,TRUE
1999,FEMALE LEAD ROLE,HILARY SWANK,BOYS DON'T CRY,FALSE
1999,FEMALE LEAD ROLE,MERYL STREEP,MUSIC OF THE HEART,FALSE
1999,FEMALE LEAD ROLE,JULIANNE MOORE,THE END OF THE AFFAIR,FALSE
1999,FEMALE LEAD ROLE,JANET MCTEER,TUMBLEWEEDS,FALSE
1999,FEMALE SUPPORTING ROLE,CAMERON DIAZ,BEING JOHN MALKOVICH,FALSE
1999,FEMALE SUPPORTING ROLE,CATHERINE KEENER,BEING JOHN MALKOVICH,FALSE
1999,FEMALE SUPPORTING ROLE,CHLOË SEVIGNY,BOYS DON'T CRY,FALSE
1999,FEMALE SUPPORTING ROLE,ANGELINA JOLIE,"GIRL, INTERRUPTED",TRUE
1999,FEMALE SUPPORTING ROLE,JULIANNE MOORE,MAGNOLIA,FALSE
1999,MALE LEAD ROLE,KEVIN SPACEY,AMERICAN BEAUTY,TRUE
1999,MALE LEAD ROLE,PHILIP SEYMOUR HOFFMAN,FLAWLESS,FALSE
1999,MALE LEAD ROLE,JIM CARREY,MAN ON THE MOON,FALSE
1999,MALE LEAD ROLE,DENZEL WASHINGTON,THE HURRICANE,FALSE
1999,MALE LEAD ROLE,RUSSELL CROWE,THE INSIDER,FALSE
1999,MALE SUPPORTING ROLE,CHRIS COOPER,AMERICAN BEAUTY,FALSE
1999,MALE SUPPORTING ROLE,TOM CRUISE,MAGNOLIA,FALSE
1999,MALE SUPPORTING ROLE,MICHAEL CAINE,THE CIDER HOUSE RULES,TRUE
1999,MALE SUPPORTING ROLE,MICHAEL CLARKE DUNCAN,THE GREEN MILE,FALSE
1999,MALE SUPPORTING ROLE,HALEY JOEL OSMENT,THE SIXTH SENSE,FALSE
1999,MOTION PICTURE,Sam Mendes,AMERICAN BEAUTY,TRUE
1999,MOTION PICTURE,Frank Darabont,BEING JOHN MALKOVICH,FALSE
1999,MOTION PICTURE,Paul Thomas Anderson,MAGNOLIA,FALSE
1999,MOTION PICTURE,Sam Mendes,THE CIDER HOUSE RULES,FALSE
1999,MOTION PICTURE,Frank Darabont,THE GREEN  MILE,FALSE
2000,FEMALE LEAD ROLE,JULIETTE BINOCHE,CHOCOLAT,FALSE
2000,FEMALE LEAD ROLE,JULIA ROBERTS,ERIN BROCKOVICH,TRUE
2000,FEMALE LEAD ROLE,ELLEN BURSTYN,REQUIEM FOR A DREAM,FALSE
2000,FEMALE LEAD ROLE,JOAN ALLEN,THE CONTENDER,FALSE
2000,FEMALE LEAD ROLE,LAURA LINNEY,YOU CAN COUNT ON ME,FALSE
2000,FEMALE SUPPORTING ROLE,FRANCES McDORMAND,ALMOST FAMOUS,FALSE
2000,FEMALE SUPPORTING ROLE,KATE HUDSON,ALMOST FAMOUS,FALSE
2000,FEMALE SUPPORTING ROLE,JULIE WALTERS,BILLY ELLIOT,FALSE
2000,FEMALE SUPPORTING ROLE,JUDI DENCH,CHOCOLAT,TRUE
2000,FEMALE SUPPORTING ROLE,KATE WINSLET,QUILLS,FALSE
2000,MALE LEAD ROLE,JAMIE BELL,BILLY ELLIOT,FALSE
2000,MALE LEAD ROLE,TOM HANKS,CAST AWAY,FALSE
2000,MALE LEAD ROLE,RUSSELL CROWE,GLADIATOR,FALSE
2000,MALE LEAD ROLE,GEOFFREY RUSH,QUILLS,FALSE
2000,MALE LEAD ROLE,BENICIO DEL TORO,TRAFFIC,TRUE
2000,MALE SUPPORTING ROLE,ALBERT FINNEY,ERIN BROCKOVICH,TRUE
2000,MALE SUPPORTING ROLE,JOAQUIN PHOENIX,GLADIATOR,FALSE
2000,MALE SUPPORTING ROLE,WILLEM DAFOE,SHADOW OF THE VAMPIRE,FALSE
2000,MALE SUPPORTING ROLE,GARY OLDMAN,THE CONTENDER,FALSE
2000,MALE SUPPORTING ROLE,JEFF BRIDGES,THE CONTENDER,FALSE
2000,MOTION PICTURE,Cameron Crowe,ALMOST FAMOUS,FALSE
2000,MOTION PICTURE,Stephen Daldry,BILLY ELLIOT,FALSE
2000,MOTION PICTURE,Lasse Hallström,CHOCOLAT,FALSE
2000,MOTION PICTURE,Ridley Scott,GLADIATOR,FALSE
2000,MOTION PICTURE,Ridley Scott,TRAFFIC,TRUE
2001,FEMALE LEAD ROLE,JENNIFER CONNELLY,A BEAUTIFUL MIND,FALSE
2001,FEMALE LEAD ROLE,RENEÉ ZELLWEGER,BRIDGET JONES'S DIARY,FALSE
2001,FEMALE LEAD ROLE,SISSY SPACEK,IN THE BEDROOM,FALSE
2001,FEMALE LEAD ROLE,JUDI DENCH,IRIS,FALSE
2001,FEMALE LEAD ROLE,HALLE BERRY,MONSTER'S BALL,TRUE
2001,FEMALE SUPPORTING ROLE,CATE BLANCHETT,BANDITS,FALSE
2001,FEMALE SUPPORTING ROLE,HELEN MIRREN,GOSFORD PARK,TRUE
2001,FEMALE SUPPORTING ROLE,DAKOTA FANNING,I AM SAM,FALSE
2001,FEMALE SUPPORTING ROLE,JUDI DENCH,THE SHIPPING NEWS,FALSE
2001,FEMALE SUPPORTING ROLE,CAMERON DIAZ,VANILLA SKY,FALSE
2001,MALE LEAD ROLE,RUSSELL CROWE,A BEAUTIFUL MIND,TRUE
2001,MALE LEAD ROLE,SEAN PENN,I AM SAM,FALSE
2001,MALE LEAD ROLE,TOM WILKINSON,IN THE BEDROOM,FALSE
2001,MALE LEAD ROLE,KEVIN KLINE,LIFE AS A HOUSE,FALSE
2001,MALE LEAD ROLE,DENZEL WASHINGTON,TRAINING DAY,FALSE
2001,MALE SUPPORTING ROLE,JIM BROADBENT,IRIS,FALSE
2001,MALE SUPPORTING ROLE,HAYDEN CHRISTENSEN,LIFE AS A HOUSE,FALSE
2001,MALE SUPPORTING ROLE,IAN McKELLEN,LORD OF THE RINGS: THE FELLOWSHIP OF THE RING,TRUE
2001,MALE SUPPORTING ROLE,BEN KINGSLEY,SEXY BEAST,FALSE
2001,MALE SUPPORTING ROLE,ETHAN HAWKE,TRAINING DAY,FALSE
2001,MOTION PICTURE,Ron Howard,A BEAUTIFUL MIND,FALSE
2001,MOTION PICTURE,Ridley Scott,GOSFORD PARK,TRUE
2001,MOTION PICTURE,Todd Field,IN THE BEDROOM,FALSE
2001,MOTION PICTURE,Peter Jackson,LORD OF THE RINGS: THE FELLOWSHIP OF THE RING,FALSE
2001,MOTION PICTURE,Baz Luhrmann,MOULIN ROUGE,FALSE
2002,FEMALE LEAD ROLE,RENÉE ZELLWEGER,CHICAGO,TRUE
2002,FEMALE LEAD ROLE,JULIANNE MOORE,FAR FROM HEAVEN,FALSE
2002,FEMALE LEAD ROLE,SALMA HAYEK,FRIDA,FALSE
2002,FEMALE LEAD ROLE,NICOLE KIDMAN,THE HOURS,FALSE
2002,FEMALE LEAD ROLE,DIANE LANE,UNFAITHFUL,FALSE
2002,FEMALE SUPPORTING ROLE,KATHY BATES,ABOUT SCHMIDT,FALSE
2002,FEMALE SUPPORTING ROLE,CATHERINE ZETA-JONES,CHICAGO,TRUE
