R_YEAR,CATEGORY,NAME,FILM,O_WIN,GG_WIN,GG_NOM,SAG_WIN,SAG_NOM,BAFTA_WIN,BAFTA_NOM
2023,ACTOR IN A LEADING ROLE,BRADLEY COOPER,MAESTRO,10-03-2024,False,True,False,True,False,True
2023,ACTOR IN A LEADING ROLE,COLMAN DOMINGO,RUSTIN,10-03-2024,False,True,False,True,False,True
2023,ACTOR IN A LEADING ROLE,PAUL GIAMATTI,THE HOLDOVERS,10-03-2024,True,True,False,True,False,True
2023,ACTOR IN A LEADING ROLE,CILLIAN MURPHY,OPPENHEIMER,10-03-2024,True,True,True,True,True,True
2023,ACTOR IN A LEADING ROLE,JEFFREY WRIGHT,AMERICAN FICTION,10-03-2024,False,True,False,True,False,False
2023,ACTOR IN A SUPPORTING ROLE,STERLING K. BROWN,AMERICAN FICTION,10-03-2024,False,False,False,True,False,False
2023,ACTOR IN A SUPPORTING ROLE,ROBERT DE NIRO,KILLERS OF THE FLOWER MOON,10-03-2024,False,True,False,True,False,True
2023,ACTOR IN A SUPPORTING ROLE,ROBERT DOWNEY JR.,OPPENHEIMER,10-03-2024,True,True,True,True,True,True
2023,ACTOR IN A SUPPORTING ROLE,RYAN GOSLING,BARBIE,10-03-2024,False,True,False,True,False,True
2023,ACTOR IN A SUPPORTING ROLE,MARK RUFFALO,POOR THINGS,10-03-2024,False,True,False,False,False,False
2023,ACTRESS IN A LEADING ROLE,ANNETTE BENING,NYAD,10-03-2024,False,True,False,True,False,False
2023,ACTRESS IN A LEADING ROLE,LILY GLADSTONE,KILLERS OF THE FLOWER MOON,10-03-2024,True,True,True,True,False,False
2023,ACTRESS IN A LEADING ROLE,SANDRA HÜLLER,ANATOMY OF A FALL,10-03-2024,False,True,False,False,False,False
2023,ACTRESS IN A LEADING ROLE,CAREY MULLIGAN,MAESTRO,10-03-2024,False,True,False,True,False,True
2023,ACTRESS IN A LEADING ROLE,EMMA STONE,POOR THINGS,10-03-2024,True,True,False,True,True,True
2023,ACTRESS IN A SUPPORTING ROLE,EMILY BLUNT,OPPENHEIMER,10-03-2024,False,True,False,True,False,True
2023,ACTRESS IN A SUPPORTING ROLE,DANIELLE BROOKS,THE COLOR PURPLE,10-03-2024,False,True,False,True,False,True
2023,ACTRESS IN A SUPPORTING ROLE,AMERICA FERRERA,BARBIE,10-03-2024,False,False,False,False,False,False
2023,ACTRESS IN A SUPPORTING ROLE,JODIE FOSTER,NYAD,10-03-2024,False,True,False,True,False,False
2023,ACTRESS IN A SUPPORTING ROLE,DA'VINE JOY RANDOLPH,THE HOLDOVERS,10-03-2024,True,True,True,True,True,True
2023,BEST PICTURE,CORD JEFFERSON,AMERICAN FICTION,10-03-2024,False,True,False,True,False,False
2023,BEST PICTURE,JUSTINE TRIET,ANATOMY OF A FALL,10-03-2024,False,True,False,False,False,True
2023,BEST PICTURE,GRETA GERWIG,BARBIE,10-03-2024,False,True,False,True,False,False
2023,BEST PICTURE,ALEXANDER PAYNE,THE HOLDOVERS,10-03-2024,False,True,False,False,False,True
2023,BEST PICTURE,MARTIN SCORSESE,KILLERS OF THE FLOWER MOON,10-03-2024,False,True,False,True,False,True
2023,BEST PICTURE,BRADLEY COOPER,MAESTRO,10-03-2024,False,True,False,False,False,False
2023,BEST PICTURE,CHRISTOPHER NOLAN,OPPENHEIMER,10-03-2024,True,True,True,True,True,True
2023,BEST PICTURE,CELINE SONG,PAST LIVES,10-03-2024,False,True,False,False,False,False
2023,BEST PICTURE,YORGOS LANTHIMOS,POOR THINGS,10-03-2024,True,True,False,False,False,True
2023,BEST PICTURE,JONATHAN GLAZER,THE ZONE OF INTEREST,10-03-2024,False,True,False,False,False,False
2023,DIRECTING,JUSTINE TRIET,ANATOMY OF A FALL,10-03-2024,False,False,False,False,False,True
2023,DIRECTING,MARTIN SCORSESE,KILLERS OF THE FLOWER MOON,10-03-2024,False,True,False,False,False,False
2023,DIRECTING,CHRISTOPHER NOLAN,OPPENHEIMER,10-03-2024,True,True,False,False,True,True
2023,DIRECTING,YORGOS LANTHIMOS,POOR THINGS,10-03-2024,False,True,False,False,False,False
2023,DIRECTING,JONATHAN GLAZER,THE ZONE OF INTEREST,10-03-2024,False,False,False,False,False,True
